Zelfgemaakt profiel,,Geo-floor,,air-floor,,water-floor
0.8,,0.651167675,,0.760850389,,0.753960879
0.8,,0.651167675,,0.760850389,,0.753960879
0.8,,0.651167675,,0.760850389,,0.753960879
0.8,,0.651167675,,0.760850389,,0.753960879
0.8,,0.649229676,,0.760850389,,0.753960879
0.8,,0.649229676,,0.760850389,,0.753960879
0.8,,0.649229676,,0.760850389,,0.753960879
0.8,,0.649229676,,0.760850389,,0.753960879
0.8,,0.631787685,,0.746662036,,0.744169179
0.8,,0.631787685,,0.746662036,,0.744169179
0.8,,0.631787685,,0.746662036,,0.744169179
0.8,,0.631787685,,0.746662036,,0.744169179
0.8,,0.620159691,,0.737794316,,0.740905279
0.8,,0.620159691,,0.737794316,,0.740905279
0.8,,0.620159691,,0.737794316,,0.740905279
0.8,,0.620159691,,0.737794316,,0.740905279
0.8,,0.614345694,,0.734247228,,0.737641379
0.8,,0.614345694,,0.734247228,,0.737641379
0.8,,0.614345694,,0.734247228,,0.737641379
0.8,,0.614345694,,0.734247228,,0.737641379
0.8,,0.604655698,,0.725379508,,0.734377479
0.8,,0.604655698,,0.725379508,,0.734377479
0.8,,0.604655698,,0.725379508,,0.734377479
0.8,,0.604655698,,0.725379508,,0.734377479
0.8,,0.594965703,,0.720058876,,0.731113579
0.8,,0.594965703,,0.720058876,,0.731113579
0.8,,0.594965703,,0.720058876,,0.731113579
0.8,,0.594965703,,0.720058876,,0.731113579
0.8,,0.587213707,,0.7129647,,0.727849679
0.8,,0.587213707,,0.7129647,,0.727849679
0.8,,0.587213707,,0.7129647,,0.727849679
0.8,,0.587213707,,0.7129647,,0.727849679
0.8,,0.585275708,,0.705870524,,0.71153018
0.8,,0.585275708,,0.705870524,,0.71153018
0.8,,0.585275708,,0.705870524,,0.71153018
0.8,,0.585275708,,0.705870524,,0.71153018
0.8,,0.596903702,,0.7129647,,0.71153018
0.8,,0.596903702,,0.7129647,,0.71153018
0.8,,0.596903702,,0.7129647,,0.71153018
0.8,,0.596903702,,0.7129647,,0.71153018
0.8,,0.618221692,,0.727153052,,0.721321879
0.8,,0.618221692,,0.727153052,,0.721321879
0.8,,0.618221692,,0.727153052,,0.721321879
0.8,,0.618221692,,0.727153052,,0.721321879
0.8,,0.635663683,,0.741341404,,0.727849679
0.8,,0.635663683,,0.741341404,,0.727849679
0.8,,0.635663683,,0.741341404,,0.727849679
0.8,,0.635663683,,0.741341404,,0.727849679
0.8,,0.645353678,,0.74843558,,0.734377479
0.8,,0.645353678,,0.74843558,,0.734377479
0.8,,0.645353678,,0.74843558,,0.734377479
0.8,,0.645353678,,0.74843558,,0.734377479
0.8,,0.651167675,,0.755529756,,0.740905279
0.8,,0.651167675,,0.755529756,,0.740905279
0.8,,0.651167675,,0.755529756,,0.740905279
0.8,,0.651167675,,0.755529756,,0.740905279
0.8,,0.653105674,,0.760850389,,0.750696979
0.8,,0.653105674,,0.760850389,,0.750696979
0.8,,0.653105674,,0.760850389,,0.750696979
0.8,,0.653105674,,0.760850389,,0.750696979
0.8,,0.635663683,,0.750209124,,0.747433079
0.8,,0.635663683,,0.750209124,,0.747433079
0.8,,0.635663683,,0.750209124,,0.747433079
0.8,,0.635663683,,0.750209124,,0.747433079
0.8,,0.616283693,,0.732473684,,0.731113579
0.8,,0.616283693,,0.732473684,,0.731113579
0.8,,0.616283693,,0.732473684,,0.731113579
0.8,,0.616283693,,0.732473684,,0.731113579
0.8,,0.602717699,,0.720058876,,0.724585779
0.8,,0.602717699,,0.720058876,,0.724585779
0.8,,0.602717699,,0.720058876,,0.724585779
0.8,,0.602717699,,0.720058876,,0.724585779
0.8,,0.596903702,,0.714738244,,0.71805798
0.8,,0.596903702,,0.714738244,,0.71805798
0.8,,0.596903702,,0.714738244,,0.71805798
0.8,,0.596903702,,0.714738244,,0.71805798
0.8,,0.591089705,,0.711191156,,0.71479408
0.8,,0.591089705,,0.711191156,,0.71479408
0.8,,0.591089705,,0.711191156,,0.71479408
0.8,,0.591089705,,0.711191156,,0.71479408
0.8,,0.589151706,,0.707644068,,0.71153018
0.8,,0.589151706,,0.707644068,,0.71153018
0.8,,0.589151706,,0.707644068,,0.71153018
0.8,,0.589151706,,0.707644068,,0.71153018
0.8,,0.593027704,,0.7129647,,0.71805798
0.8,,0.593027704,,0.7129647,,0.71805798
0.8,,0.593027704,,0.7129647,,0.71805798
