ruimteverwarming,sanitair warm water,elektriciteit,,,totaal,bron
9.37E-05,5.56E-05,4.09E-05,,,,
9.37E-05,5.56E-05,4.25E-05,,,,
9.37E-05,5.56E-05,4.31E-05,,,,
9.37E-05,5.56E-05,4.30E-05,,,,
8.48E-05,5.15E-05,4.36E-05,,,,
8.48E-05,5.15E-05,4.39E-05,,,,
8.48E-05,5.15E-05,4.40E-05,,,,
8.48E-05,5.15E-05,4.37E-05,,,,
7.83E-05,4.80E-05,4.49E-05,,,,
7.83E-05,4.80E-05,4.63E-05,,,,
7.83E-05,4.80E-05,4.76E-05,,,,
7.83E-05,4.80E-05,4.79E-05,,,,
7.38E-05,4.53E-05,4.79E-05,,,,
7.38E-05,4.53E-05,4.72E-05,,,,
7.38E-05,4.53E-05,4.64E-05,,,,
7.38E-05,4.53E-05,4.56E-05,,,,
7.12E-05,4.87E-05,4.43E-05,,,,
7.12E-05,4.87E-05,0.000043748,,,,
7.12E-05,4.87E-05,4.33E-05,,,,
7.12E-05,4.87E-05,0.000043254,,,,
6.94E-05,3.50E-05,0.000042451,,,,
6.94E-05,3.50E-05,4.14E-05,,,,
6.94E-05,3.50E-05,4.12E-05,,,,
6.94E-05,3.50E-05,4.22E-05,,,,
7.01E-05,2.61E-05,4.25E-05,,,,
7.01E-05,2.61E-05,4.17E-05,,,,
7.01E-05,2.61E-05,4.15E-05,,,,
7.01E-05,2.61E-05,4.18E-05,,,,
7.40E-05,2.27E-05,4.19E-05,,,,
7.40E-05,2.27E-05,4.13E-05,,,,
7.40E-05,2.27E-05,4.18E-05,,,,
7.40E-05,2.27E-05,4.61E-05,,,,
7.64E-05,2.82E-05,0.000049552,,,,
7.64E-05,2.82E-05,5.09E-05,,,,
7.64E-05,2.82E-05,5.17E-05,,,,
7.64E-05,2.82E-05,5.30E-05,,,,
7.48E-05,2.00E-05,5.42E-05,,,,
7.48E-05,2.00E-05,5.40E-05,,,,
7.48E-05,2.00E-05,5.26E-05,,,,
7.48E-05,2.00E-05,5.14E-05,,,,
7.16E-05,4.19E-05,5.05E-05,,,,
7.16E-05,4.19E-05,4.88E-05,,,,
7.16E-05,4.19E-05,4.78E-05,,,,
7.16E-05,4.19E-05,4.68E-05,,,,
6.82E-05,2.82E-05,4.55E-05,,,,
6.82E-05,2.82E-05,4.51E-05,,,,
6.82E-05,2.82E-05,4.43E-05,,,,
6.82E-05,2.82E-05,4.30E-05,,,,
6.16E-05,9.68E-06,4.14E-05,,,,
6.16E-05,9.68E-06,4.00E-05,,,,
6.16E-05,9.68E-06,3.93E-05,,,,
6.16E-05,9.68E-06,3.92E-05,,,,
4.95E-05,1.24E-05,3.68E-05,,,,
4.95E-05,1.24E-05,3.51E-05,,,,
4.95E-05,1.24E-05,3.34E-05,,,,
4.95E-05,1.24E-05,0.000031826,,,,
3.73E-05,6.25E-06,2.87E-05,,,,
